Entreprise;source;Nombre d'offres postés les 10 derniers jours;Contacté;Notes;website_url;activity_sector;attributed_sale;status
La Poste Groupe;Hello Work;5;Non;;https://www.lapostegroupe.com/fr;Other;;Contacté
Galeries Lafayette;Hello Work;4;Oui;;https://www.galerieslafayette.com/;Other;;Pas intéressant
Axa Group Operations;Hello Work;3;;;https://recrutement.axa.fr/axa-et-vous/nos-sites-en-france/axa-group-operations;Other;;
Direction Des Solidarités De La Ville De Paris;Hello Work;3;Non;;https://www.paris.fr/dossiers/centre-d-action-sociale-de-la-ville-de-paris-casvp-23;Other;;
1001 Vies Habitat;Hello Work;3;Non;;https://www.1001vieshabitat.fr/;Other;;
Valeo;Hello Work;3;;;https://www.valeo.com/en/;Other;;
Haltys;Hello Work;2;;;https://www.google.com;Other;;
Gr Intérim & Recrutement;Hello Work;2;;;https://www.groupe-gr.com/;Other;;
Axa En France;Hello Work;2;Non;;https://www.axa.fr/qui-sommes-nous.html;Other;;
Unknown;Hello Work;2;;;https://unknownlondon.com/;Other;;
Sfr;Hello Work;2;;;https://www.sfr.fr/;Other;;
Ag2R La Mondiale;Hello Work;2;;;https://www.ag2rlamondiale.fr/;Other;;
Groupe Air Liquide;Hello Work;2;;;https://www.airliquide.com/fr;Other;;
Naturalia France;Hello Work;1;;;https://www.naturalia.fr/;Other;;
N.A.;Hello Work;1;;;https://en.wikipedia.org/wiki/Na;Other;;
Mobilize Financial Services;Hello Work;1;;;https://www.mobilize-fs.fr/;Other;;
Mgen;Hello Work;1;;;https://www.mgen.fr/;Other;;
Meotec;Hello Work;1;;;https://meotec.com/en/;Other;;
Neithwork Super Recruteur;Hello Work;1;;;https://www.hellowork.com/fr-fr/entreprises/neithwork-99367.html;Other;;
Maformation;Hello Work;1;;;https://www.google.com;Other;;
Lucie;Hello Work;1;;;https://www.google.com;Other;;
Liane Rh Super Recruteur;Hello Work;1;;;https://www.liane-rh.fr/;Other;;
Legendre Immobilier;Hello Work;1;;;https://www.google.com;Other;;
L'Emploi;Hello Work;1;;;https://www.google.com;Other;;
Jobijoba;Hello Work;1;;;https://www.google.com;Other;;
Noschool;Hello Work;1;;;https://www.noschool.fr/;Other;;
Nextgen Rh;Hello Work;1;;;https://www.nextgenrh.fr/;Other;;
Talentpeople;Hello Work;1;;;https://www.talentpeople.eu/;Other;;
