Entreprise;source;Nombre d'offres postés les 10 derniers jours;Contacté;Notes;website_url;activity_sector;attributed_sale;status
Eiffage;Cadre EmploiCadre Emploi;16;Non;;https://www.eiffage.com/;Other;Judith;Pas intéressant
Accenture;Cadre Emploi;15;;;https://www.accenture.com/fr-fr;Other;;
Capgemini;Cadre Emploi;15;Non;;https://www.capgemini.com/fr-fr/;Other;;
Eiffage Construction;Cadre Emploi;10;;;https://www.eiffageconstruction.com/;Other;;
Printemps;IndeedLinkedIn;10;Non;;https://www.printemps.com/fr/fr;Other;;Pas intéressant
Chanel;LinkedInHello Work;9;Non;;https://www.chanel.com/fr/;Other;;Client
Société Générale;Cadre Emploi;8;Non;;https://particuliers.sg.fr/;Other;;
Florence Dore Sa;Hello Work;8;;;http://www.florencedore.fr/;Other;;
Disneyland Paris;Indeed;7;Non;;https://www.disneylandparis.com/fr-fr/;Other;;
La Poste Groupe;Hello Work;7;Non;;https://www.lapostegroupe.com/fr;Other;;Contacté
Smabtp;Hello Work;7;;;https://www.smabtp.fr/sma/assurance/;Other;;
Ville De Paris;Indeed;7;;;https://www.paris.fr/;Other;;
Sintel;Hello Work;6;;;https://sintel-recrutement.fr/;Other;;
Louis Vuitton;Indeed;6;Non;;https://fr.louisvuitton.com/fra-fr/homepage;Other;Esther;Client
Sodexo;Cadre EmploiCadre Emploi;6;Non;;https://www.sodexo.fr/;Other;;
Total;Cadre EmploiCadre Emploi;5;;;https://www.google.com;Other;;
Ibm;Cadre Emploi;5;;;https://www.ibm.com/;Other;;
Bnp Paribas;Hello Work;5;Non;;https://mabanque.bnpparibas/;Other;;
Altice Media - Bfm Rmc;Hello Work;5;;;https://www.alticemedia-adsconnect.fr/;Other;;
Chronopost;IndeedHello Work;5;Non;;https://www.chronopost.fr/fr/prehome;Other;;
Lvmh;Cadre Emploi;5;;;https://www.lvmh.com/;Other;;
Richemont;Hello Work;5;;;https://www.richemont.com/;Other;;
La Banque Postale;Indeed;4;Non;;https://www.labanquepostale.fr/;Other;;
L'Oréal;Cadre Emploi;4;;;https://www.loreal-paris.fr/;Other;;
Ratp Dev - France Suisse;Indeed;4;;;https://www.google.com;Other;;
Kpmg;Cadre Emploi;4;Non;;https://kpmg.com/fr/fr/home.html;Other;;
Sfr;Hello WorkHello Work;4;;;https://www.sfr.fr/;Other;;
Publicis Groupe;Hello Work;4;;;https://www.publicisgroupe.com/fr/splash;Other;;
Mgen;Hello Work;4;;;https://www.mgen.fr/;Other;;
Pwc;Cadre Emploi;4;;;https://www.pwc.com/;Other;;
Christian Dior Couture;Hello Work;4;;;https://en.wikipedia.org/wiki/Dior;Other;;
Eurazeo;Cadre Emploi;3;;;https://www.google.com;Other;;
Paris Society;Indeed;3;;;https://paris-society.com/;Other;;
Carrefour;Cadre Emploi;3;;;https://www.google.com;Other;;
Direction Des Solidarités De La Ville De Paris;Hello Work;3;Non;;https://www.paris.fr/dossiers/centre-d-action-sociale-de-la-ville-de-paris-casvp-23;Other;;
Bouygues Telecom;Cadre Emploi;3;Non;;https://www.bouyguestelecom.fr/;Other;;
Candia;Hello Work;3;Non;;https://www.candia.fr/;Other;;
Onestaff;Hello Work;3;;;https://www.onestaff.eu/en;Other;;
Freelance;Cadre Emploi;3;;;https://www.freelance.com/;Other;;
Sncf;Indeed;3;;;https://www.sncf.com/fr;Other;;
Ouihelp;Hello Work;3;;;https://www.ouihelp.fr/;Other;;
Suez;Cadre Emploi;3;;;https://www.suez.com/en;Other;;
Cabinet D'Avocats;LinkedIn;3;Non;;https://www.jdbavocats.com/;Other;;
Systra;Hello Work;3;;;https://www.systra.com/en/;Other;;
Saint Laurent;LinkedIn;3;;;https://www.google.com;Other;;
Ag2R La Mondiale;Hello Work;3;;;https://www.ag2rlamondiale.fr/;Other;;
Hellofresh;Hello Work;3;;;https://www.hellofresh.fr/;Other;;
Groupe Ros;Indeed;3;;;https://www.groupe-ros.com/fr/;Other;;
Maisons Du Monde;IndeedHello Work;3;Non;;https://www.maisonsdumonde.com/;Other;;
Interspar;Cadre Emploi;3;;;https://www.google.com;Other;;
Institut Curie;Indeed;3;;;http://curie.fr/;Other;;
Amundi;Hello Work;3;;;https://www.google.com;Other;;
Adéquat;Hello Work;3;;;https://www.lejobadequat.com/;Other;;
3F;Hello Work;3;Non;;https://www.groupe3f.fr/;Other;;
Ab Inbev;Indeed;3;;;https://www.ab-inbev.com/;Other;;
