company;Contacté;Notes;website_url;activity_sector;attributed_sale;status
van cleef & arpels;Non;;https://www.vancleefarpels.com/fr/fr/home.html;Other;;
groupe adp;Non;;https://www.parisaeroport.fr/homepage-groupe;Other;;
grant thornton;Non;;https://www.grantthornton.fr/fr/;Other;;
grands moulins de paris;Non;;https://www.grandsmoulinsdeparis.com/;Other;;
gmf;Non;;https://www.gmf.fr/;Other;;
generali france;Non;;https://www.generali.fr/;Other;;
numberly;Non;;https://numberly.com/fr;Other;;
monceau assurances;Non;;https://www.monceauassurances.com/;Other;;
utb;Non;;https://www.utb.fr/;Other;;
amazon europe core;Non;;https://partenaires.amazon.fr/help/node/topic/GQK4NCU3ZMTXDKNR;Other;;
air products;Non;;https://www.airproducts.fr/;Other;;
one clinic;Non;;https://oneclinic.fr/;Other;;
henix;Non;;https://www.henix.com/;Other;;
ops partners;Non;;https://opspartners.fr/;Other;;
fnac darty;Non;;https://www.fnacdarty.com/;Other;;
cabinet d’avocats;Non;;https://www.jdbavocats.com/;Other;;
anfh;Non;;https://www.anfh.fr/;Recruitment;;
approach people recruitment;Non;;https://www.approachpeople.com/;Recruitment;;
melia hotels international;Non;;https://www.melia.com/fr;Other;;
fastned;Non;;https://fastnedcharging.com/fr/;Other;;
palmer;Non;;https://www.allocine.fr/film/fichefilm_gen_cfilm=256048.html;Other;;
intuis;Non;;https://groupe.intuis.fr/;Other;;
ea paris ouest;Non;;https://www.paris-ouest.fr/;Other;;
kelly services;Non;;https://www.kellyservices.fr/;Recruitment;;
chronopost;Non;;https://www.chronopost.fr/fr/prehome;Other;;
bpifrance;Non;;https://www.bpifrance.fr/;Other;;
le taillevent;Non;;https://www.letaillevent.com/;Other;;
safran;Non;;https://www.safran-group.com/fr;Other;Karine;À contacter
bouygues telecom;Non;;https://www.bouyguestelecom.fr/;Other;;
sodexo;Non;;https://www.sodexo.fr/;Other;;
acting-finances;Non;;https://acting.co/;Other;;
abylsen;Non;;https://abylsen.com/;Recruitment;;
kocoya thinklab;Non;;https://kocoyathinklab.com/;Formation/Education;;
zeiss group;Non;;https://www.zeiss.fr/corporate/home.html;Other;;
crédit agricole assurances;Non;;https://www.ca-assurances.com/;Other;;
konica minolta;Non;;https://www.konicaminolta.fr/fr-fr;Other;;
e.leclerc;Non;;https://www.e.leclerc/;Other;;
coallia;Non;;https://coallia.org/;Other;;
leasecom;Non;;https://www.leasecom.fr/;Other;;
swiss life;Non;;https://www.swisslife.fr/home.html;Other;;
lefebvre sarrut;Non;;https://www.lefebvre-sarrut.eu/;Formation/Education;;
seqens;Non;;https://www.seqens.fr/;Other;;
ramsay santé;Non;;https://www.ramsaysante.fr/;Other;;
jacquet-brossard - groupe limagrain;Non;;https://www.jacquetbrossard.com/;Other;;
slidor;Non;;https://www.slidor.fr/;Recruitment;;
additi;Non;;https://additi.ouest-france.fr/;Other;;
la tete dans la nuages;Non;;https://latetedanslesnuages.com/;Other;;
live nation;Non;;https://www.livenation.fr/;Other;;
3shape;Non;;https://www.3shape.com/fr;Other;;
bellerose belgium sa;Non;;https://www.bellerose.be/fr;Other;;
le groupe la poste;Non;;https://www.lapostegroupe.com/fr;Other;;
médecins sans frontières;Non;;https://www.msf.fr/;Other;;
ville d'argenteuil;Non;;https://www.argenteuil.fr/fr;Other;;
leader;Non;;https://www.europe-en-france.gouv.fr/fr/search/site/leader;Other;;
vilber;Non;;https://www.vilber.com/;Other;;
le food corner;Non;;https://lefoodcorner.com/;Other;;
métropole du grand paris;Non;;https://metropolegrandparis.fr/fr;Other;;
metro france;Non;;https://www.metro.fr/;Other;;
meridiam;Non;;https://www.meridiam.com/?lang=fr;Other;;
meritis;Non;;https://meritis.fr/;Other;;
mydral;Non;;https://www.mydral.com/;Other;;
museum national d’histoire naturelle;Non;;https://www.mnhn.fr/fr;Formation/Education;;
murex;Non;;https://fr.wikipedia.org/wiki/Murex_(nom_vernaculaire);Other;;
ville de bobigny;Non;;https://www.bobigny.fr/;Other;;
ville d'issy les moulineaux;Non;;https://www.issy.com/;Other;;
mra;Non;;https://mra.de/fr;Other;;
merci jérôme;Non;;https://mercijerome.com/;Other;;
mcgp;Non;;https://www.mcgp-sas.com/;Other;;
ville de cachan;Non;;https://www.ville-cachan.fr/;Other;;
vinci autoroutes;Non;;https://www.vinci-autoroutes.com/fr/;Other;;
vossloh cogifer s.a.;Non;;https://www.vossloh.com/fr/;Recruitment;;
webhelp medica;Non;;https://webhelpmedica.com/;Other;;
madeho;Non;;https://www.madeho.fr/;Other;;
le figaro;Non;;https://www.lefigaro.fr/;Other;;
maaf;Non;;https://www.maaf.fr/fr/assurance;Other;;
ligue nationale contre le cancer;Non;;https://www.ligue-cancer.net/;Other;;
natixis;Non;;https://www.interepargne.natixis.com/;Other;;
vp&white;Non;;https://vpwhite.com/;Other;;
linedata services;Non;;https://fr.linedata.com/;Other;;
longevity partners;Non;;https://longevity-partners.com/fr/?locale=fr;Other;;
lunajets;Non;;https://www.lunajets.com/fr;Other;;
lr technologies groupe;Non;;https://lrtechnologies.fr/;Recruitment;;
lumapps;Non;;https://www.lumapps.com/fr/solutions/pour-les-rh/;Other;;
maison francis kurkdjian;Non;;https://www.franciskurkdjian.com/eu-fr;Other;;
malakoff humanis;Non;;https://www.malakoffhumanis.com/;Other;;
volkswagen group retail france;Non;;https://volkswagengroup.fr/;Recruitment;;
mbda;Non;;https://www.mbda-systems.com/recrutement-ensemble-pour-le-futur-de-la-defense-mbda-carrieres/;Other;;
legrand support;Non;;https://www.legrand.fr/nous-contacter;Other;;
md & ci;Non;;https://www.conceptindustrie.net/;Other;;
mcdonald's france;Non;;https://www.mcdonalds.fr/;Other;;
le cercle intérimaire;Non;;https://www.le-cercle-interimaire.fr/;Recruitment;;
malongo;Non;;https://www.malongo.com/;Other;;
marriott international, inc;Non;;https://www.marriott.com/fr/marriott/aboutmarriott.mi;Other;;
marianne international;Non;;https://www.marianne-international.fr/;Other;;
vital finance & patrimoine;Non;;https://fr.linkedin.com/company/vital-finance-&-patrimoine;Other;;
manutan;Non;;https://www.manutan.fr/fr/maf;Other;;
mango;Non;;https://shop.mango.com/fr;Other;;
orpea;Non;;https://www.orpea.com/;Other;;
natixis sa;Non;;https://natixis.groupebpce.com/?lang=fr;Other;;
realease capital;Non;;https://www.realease-capital.fr/;Other;;
rwe onshore/pv europe & australia;Non;;https://www.rwe.com/en/the-group/rwe-renewables-europe-australia/;Other;;
rothschild & co;Non;;https://www.rothschildandco.com/fr/;Other;;
rosa paris;Non;;https://rosaparis.com/;Other;;
robocast;Non;;https://fr.indeed.com/q-robocast-emplois.html;Other;;
rituals cosmetics;Non;;https://www.rituals.com/fr-fr/home;Other;;
rentokil initial;Non;;https://www.rentokil-initial.fr/;Other;;
ras interim;Non;;https://www.ras-interim.fr/;Recruitment;;
saab inc.;Non;;https://www.saab.com/markets/united-states;Other;;
quietalis;Non;;https://www.quietalis.com/;Other;;
quick;Non;;https://www.quick.fr/;Other;;
pénélope event;Non;;https://penelope.fr/accueil/;Recruitment;;
purchease;Non;;https://purchease.com/;Other;;
potel et chabot;Non;;https://poteletchabot.com/;Other;;
pok;Non;;https://www.pok.fr/fr/accueil/;Other;;
place des tendances;Non;;https://www.placedestendances.com/fr/fr;Other;;
place dentaire;Non;;https://placedentaire.fr/;Other;;
talan;Non;;https://talan.com/;Recruitment;;
near;Non;;https://near.org/;Other;;
sopra banking software;Non;;https://www.soprabanking.com/fr/;Other;;
solutec;Non;;https://www.solutec.fr/fr/;Recruitment;;
société française de radiologie;Non;;https://www.radiologie.fr/accueil-sfr;Other;;
sncf réseau;Non;;https://www.sncf-reseau.com/fr;Other;;
smile, open source solutions;Non;;http://www.smile.eu/en;Other;;
staraqs;Non;;https://www.staraqs.com/;Other;;
stmicroelectronics;Non;;https://www.st.com/content/st_com/en.html;Recruitment;;
super recruteur;Non;;https://www.hellowork-group.com/fr/actualites/decouvrez-le-nouveau-label-super-recruteur-par-hellowork/;Recruitment;;
takara compagnie paris;Non;;https://beauty.takarabelmont.co.jp/region/takara-compagnie-paris-sarl/;Other;;
signify;Non;;https://www.signify.com/fr-fr;Recruitment;;
systea infrastructures;Non;;http://www.elia-groupe.fr/systea/;Recruitment;;
seine-saint-denis;Non;;https://seinesaintdenis.fr/;Other;;
segula technologies;Non;;https://www.segulatechnologies.com/fr/;Other;;
sda expertise;Non;;https://www.sdaexpertise.fr/;Other;;
scfi;Non;;https://www.scfi.fr/;Other;;
savs samsah 93 apf;Non;;https://annuaire.action-sociale.org/?p=serv--aide-medico-soc-pour-adultes-hand-930023494&details=caracteristiques;Other;;
saur;Non;;https://www.saurclient.fr/;Other;;
sapian;Non;;https://www.sapian.fr/;Other;;
sécuritas aviation;Non;;https://www.securitas.fr/contact/nos-agences/agences-securitas-aviation/;Other;;
tb 4 temps;Non;;https://entreprises.lefigaro.fr/tb-4-temps-92/entreprise-894666296;Other;;
upskills cadres et experts;Non;;https://upskills.fr/nos-solutions/recrutement-cadres-experts/;Recruitment;;
onepoint;Non;;https://www.groupeonepoint.com/fr/;Other;;
ogf;Non;;https://www.ogf.fr/;Other;;
odalys groupe;Non;;https://www.odalys-groupe.com/;Other;;
octo technology;Non;;https://octo.com/;Other;;
nw;Non;;https://www.nw-groupe.com/fr/;Other;;
numéro 1 scolarité;Non;;https://www.numero1-scolarite.com/;Recruitment;;
valege;Non;;https://www.valege.com/fr/;Other;;
novecology;Non;;https://novecology.fr/;Other;;
novavet;Non;;https://www.novavet.fr/;Recruitment;;
nextgroup;Non;;https://www.nextgroup.fr/;Formation/Education;;
newrest;Non;;https://www.newrest.eu/fr/;Other;;
nestle operational services worldwide sa;Non;;https://www.nestle.ch/fr/info;Recruitment;;
neoptim consulting;Non;;https://neoptimconsulting.com/;Other;;
neocorner;Non;;https://www.neocorner.fr/;Other;;
neo2;Non;;https://www.neo2.eu/;Other;;
universite paris nanterre;Non;;https://www.parisnanterre.fr/;Formation/Education;;
universcience;Non;;https://www.universcience.fr/fr/accueil;Other;;
oui.sncf;Non;;https://www.oui.sncf/;Other;;
technique solaire;Non;;https://techniquesolaire.com/;Other;;
technix hv;Non;;https://technix-hv.com/;Other;;
tessi;Non;;https://www.tessi.eu/fr/accueil/;Other;;
the north face;Non;;https://www.thenorthface.fr/;Other;;
the walt disney company (corporate);Non;;https://thewaltdisneycompany.com/;Other;;
thinkproject holding gmbh;Non;;https://thinkproject.com/fr/;Other;;
piano;Non;;https://fr.wikipedia.org/wiki/Piano;Formation/Education;;
philip morris international;Non;;https://www.pmi.com/;Other;;
pharma licensing club france;Non;;https://plcf.org/;Other;;
penser mieux l'énergie;Non;;https://www.pensermieux.com/;Other;;
tradalliance;Non;;http://www.tradalliance.com/;Other;;
ubs;Non;;https://www.ubs.com/fr/fr.html;Other;;
paris habitat;Non;;https://www.parishabitat.fr/;Other;;
paradox museum paris;Non;;https://www.paradoxmuseumparis.com/;Other;;
union access services;Non;;https://www.societe.com/societe/union-access-services-850658394.html;Other;;
universal medica;Non;;https://www.universalmedica.com/fr/;Other;;
point vision;Non;;https://www.pointvision.com/;Other;;
ifae business school;Non;;https://www.ifae.fr/formations/business/;Formation/Education;;
lch;Non;;https://lch-medical.com/;Other;;
chenut oliveira santiago;Non;;https://chenut.online/fr/home-frances/;Other;;
credit agricole titres;Non;;https://www.ca-titres.fr/;Other;;
coty;Non;;https://coty.com/;Other;;
consort group;Non;;https://consort-group.com/;Other;;
communauté de communes chinon vienne et loire;Non;;https://www.chinon-vienne-loire.fr/;Other;;
collège de paris développement;Non;;https://www.collegedeparis.fr/;Formation/Education;;
cojean;Non;;https://www.cojean.fr/;Other;;
clubfunding-group;Non;;https://www.clubfunding.fr/;Other;;
citygo;Non;;https://www.citygo.io/;Other;;
citya immobilier;Non;;https://www.citya.com/;Other;;
cio cibnatixis;Non;;https://fr.linkedin.com/in/mylene-haziza-91a251143;Other;;
cic crédit industriel et commercial;Non;;https://www.cic.fr/fr/index.html;Other;;
cfao;Non;;https://www.cfaogroup.com/fr/accueil/;Other;;
cezam;Non;;https://www.cezam.fr/;Other;;
cbre gws france;Non;;https://www.cbre.fr/services/optimiser-vos-performances-immobilieres/global-workplace-solutions;Other;;
cartier;Non;;https://www.cartier.com/fr-fr;Other;;
carhartt work in progress;Non;;https://www.carhartt-wip.com/en;Other;;
