Entreprise;source;Nombre d'offres postés les 10 derniers jours;Contacté;Notes;website_url;activity_sector;attributed_sale;status
Safran;Indeed;5;Non;;https://www.safran-group.com/fr;Other;Esther;Contacté
Engie Solutions;Indeed;2;;;https://www.google.com;Other;Barbara;Pas intéressant
Printemps;Indeed;2;Non;;https://www.printemps.com/fr/fr;Other;;Pas intéressant
Swiss Life;Indeed;1;Non;;https://www.swisslife.fr/home.html;Other;;
Sogetrel;Indeed;1;;;https://www.sogetrel.fr/;Other;;
Sneci;Indeed;1;;A appeler;https://www.google.com;Other;;
Sncf Cadres;Indeed;1;;;https://emploi.sncf.com/nos-metiers/gestion-circulations/cadre-operationnel-circulation-ferroviaire;Other;;
Paris Musées;Indeed;1;;;https://www.google.com;Other;;
Sferis;Indeed;1;;;https://www.sferis.fr/;Other;;
Schindler France;Indeed;1;;;https://www.schindler.fr/fr.html;Other;;
Upercut;Indeed;1;;;https://www.google.com;Other;;
Saint Gobain;Indeed;1;;;https://www.saint-gobain.com/en;Other;;
Ville De Paris;Indeed;1;;;https://www.paris.fr/;Other;;
Sacatec Équipement;Indeed;1;;;http://www.sacatecequipement.com/;Other;;
Ratp;Indeed;1;;;https://www.google.com;Other;;
Procemo;Indeed;1;;;https://www.google.com;Other;;
Alter Mundi;Indeed;1;Non;;https://altermundi.com/;Other;;
Mbda France;Indeed;1;;;https://www.mbda-systems.com/recrutement-ensemble-pour-le-futur-de-la-defense-mbda-carrieres/;Other;;
Amelia;Indeed;1;;;https://www.google.com;Other;;
Louis Vuitton;Indeed;1;Non;;https://fr.louisvuitton.com/fra-fr/homepage;Other;Esther;Client
Logis Hotels;Indeed;1;;;https://www.google.com;Other;;
La Chambre Aux Confitures;Indeed;1;;;https://la-chambre.com/;Other;;
L'Opcommerce;Indeed;1;;;https://www.lopcommerce.com/;Other;;
Groupe Kering;Indeed;1;Non;;https://www.kering.com/fr/groupe/;Other;Karine;Contacté
Genius Career;Indeed;1;;;https://www.google.com;Other;;
Deleev;Indeed;1;;;https://www.labellevie.com/;Other;;
Crédit Agricole Cib;Indeed;1;;;https://www.ca-cib.fr/;Other;;
Cpam De La Seine-Saint-Denis;Indeed;1;;;https://www.google.com;Other;;
Cocktail Scandinave;Indeed;1;;;https://cocktail-scandinave.fr/;Other;;
Club Med;Indeed;1;;;https://www.google.com;Other;;
Chanel;Indeed;1;Non;;https://www.chanel.com/fr/;Other;;Client
Babilou;Indeed;1;;;https://www.google.com;Other;;
Vulcain Metal;Indeed;1;;;https://www.vulcain-metal.fr/;Other;;
