job name;company;location;offer date;position;source;url
Cielis;Cielis;Paris - 75;477,07 - 1 766,92 eur par mois 05/05/2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
Nextgen RH;Nextgen RH;Paris - 75;23-04-2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
Skills Paris;Skills Paris;Paris - 75;télétravail occasionnel 38 000 - 42 000 eur par an 22/04/2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
LA POSTE GROUPE;LA POSTE GROUPE;Paris - 75;12 mois 477,07 - 1 766,92 eur par mois 04/05/2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
Hoche Recrutement;Hoche Recrutement;Paris - 75;télétravail partiel il y a 19 heures;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
Apave;Apave;Paris - 75;27-04-2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
Wonderbox;Wonderbox;Paris - 75;25-04-2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
ICD Business School Paris;ICD Business School Paris;Paris - 75;24 mois 20 966,40 eur par an 28/04/2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
Galeries Lafayette;Galeries Lafayette;Paris - 75;télétravail partiel 6 mois 21 203,04 eur par an 26/04/2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
Galeries Lafayette;Galeries Lafayette;Paris - 75;télétravail partiel 1 an 21 203,04 eur par an 28/04/2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
Deleev;Deleev;Paris - 75;35 000 - 50 000 eur par an 29/04/2024;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=1&mode=pagination
Galeries Lafayette Super recruteur;Galeries Lafayette;Paris - 75;télétravail partiel 12 mois;Acheteur;Hello Work;https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Acheteur&l=Paris&p=2&mode=pagination
